FHIR_ID,Arabic_term,Long_definition,NAMC_CODE,NAMC_ID,NAMC_TERM,NAMC_term,NAMC_term_DEVANAGARI,NAMC_term_diacritical,NUMC_CODE,NUMC_ID,NUMC_TERM,Ontology_branches,Reference,Short_definition,Tamil_term,Category
AYU_53,,"the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], jānusaṁdhi-sphuraṇam [twitching sensation in knee], jānusaṁdhi-stabdhatā [stiffness in knee joint], kaṭisaṁdhi-sphuraṇam [twitching sensation in waist], kaṭisaṁdhi-stabdhatā [stiffness of lowback], ūrusaṁdhi-sphuraṇam [twitching sensation in thigh], ūrusaṁdhi-stabdhatā [stiffness in thigh], tōdaḥ [pricking pain], dēha-pravakratā [bending/flexion of the body]",AAB-37,53.0,,gRudhrasI (kEvalavAta),गृध्रसी (केवलवात),gr̥dhrasī (kēvalavāta),,,,,,,,Ayurveda
AYU_54,,"It is characterised by decreased or loss of the smell. It may be explained by: (a) Vatadosha, kaphadosha blocking nasal passages",SK91 (AAB-38),54.0,,ghrANanASaH/nAsAhuNDanam (kEvalavAta),घ्राणनाशः/नासाहुण्डनम् (केवलवात),(a) ghrāṇanāśaḥ,,,,,,,,Ayurveda
AYU_55,,,AAB-39(SP1Y),55.0,,jAnuBedaH (kEvalavAta),जानुभेदः (केवलवात),(a) jānubhedaḥ,,,,,,,,Ayurveda
AYU_56,,,AAB-40 (SP1Y),56.0,,jAnuviSleShaH (kEvalavAta),जानुविश्लेषः (केवलवात),(a) jānuviśleṣaḥ,,,,,,,,Ayurveda
AYU_57,,It is characterised by morbid excessive yawning. This may be explained by: (a) Increased vatadosha.,SP95 (AAB-41),57.0,,jRumBA (kEvalavAta),जृम्भा (केवलवात),(a) jr̥mbhā,,,,,,,,Ayurveda
AYU_58,,,AAB-42(SP98),58.0,,tamaH (kEvalavAta),तमः (केवलवात),(a) tamaḥ,,,,,,,,Ayurveda
AYU_59,,,AAB-43,60.0,,timiraH (kEvalavAta),तिमिरः (केवलवात),timiraḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_60,,,AAB-44 (SN9Y),61.0,,tvakSUnyatA (kEvalavAta),त्वक्शून्यता (केवलवात),(a) prasuptiḥ                              (a) tvakśūnyatā,,,,,,,,Ayurveda
AYU_61,,,AAB-45 (SP9Y),62.0,,todaH (kEvalavAta),तोदः (केवलवात),(a) todaḥ,,,,,,,,Ayurveda
AYU_62,,,AAB-46(SK30),63.0,,daNDakaH (kEvalavAta),दण्डकः (केवलवात),(a) daṇḍakaḥ,,,,,,,,Ayurveda
AYU_63,,,AAB-47,64.0,,dantaBedaH (kEvalavAta),दन्तभेदः (केवलवात),dantabhēdaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_64,,,AAB-48 (SM1Y),65.0,,dantaSaithilyam (kEvalavAta),दन्तशैथिल्यम् (केवलवात),(a) dantaśaithilyam,,,,,,,,Ayurveda
AYU_65,,"It is characterised by whitish, mica coloured discoloration, brittleness of nails. This may be explained by: (a) Vitiated digestive and metabolic factors resulting in non absorption of nutrients leading to vitiation of vatadosha.",SN60(AAB-49),66.0,,nakhaBedaH (kEvalavAta),नखभेदः (केवलवात),(a) nakhabhedaḥ,,,,,,,,Ayurveda
AYU_66,,,AAB-50(SN7Y),67.0,,hrasvakeSaH (kEvalavAta),ह्रस्वकेशः (केवलवात),(a) hrasvakeśaḥ,,,,,,,,Ayurveda
AYU_67,,,AAB-51,68.0,,nirAmavAtaH,निरामवातः,nirāmavātaḥ,,,,,,,,Ayurveda
AYU_68,,,AAB-52,69.0,,pakShAghAtaH/pakShavadhaH (kEvalavAta),पक्षाघातः/पक्षवधः (केवलवात),pakṣāghātaḥ/pakṣavadhaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_69,,,AAB-53(SK21),70.0,,pA~ggulyam (kEvalavAta),पाङ्गुल्यम् (केवलवात),(a) pāṅgulyam,,,,,,,,Ayurveda
AYU_70,,,AAB-54(SK5Y),71.0,,pAdaBraMSaH (kEvalavAta),पादभ्रंशः (केवलवात),(a) pādabhraṃśaḥ,,,,,,,,Ayurveda
AYU_71,,,AAB-55(SP4Y),72.0,,pAdaSUlaH (kEvalavAta),पादशूलः (केवलवात),(a) pādaśūlaḥ,,,,,,,,Ayurveda
AYU_72,,,AAB-56(SP45),73.0,,pAdasuptatA (kEvalavAta),पादसुप्तता (केवलवात),(a) pādasuptatā,,,,,,,,Ayurveda
AYU_73,,It is characterised by roughness and thickness of skin may be associated with itching. This may be explained by: (a) Vitiated vatadosha.,SN4R(AAB-57),74.0,,pAruShyam (kEvalavAta),पारुष्यम् (केवलवात),(a) pāruṣyam,,,,,,,,Ayurveda
AYU_74,,,AAB-58,75.0,,pArSvAvamardaH (kEvalavAta),पार्श्वावमर्दः (केवलवात),pārśvāvamardaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_75,,,AAB-59(SP9Y),76.0,,piNDikodveShTanam (kEvalavAta),पिण्डिकोद्वेष्टनम् (केवलवात),(a) piṇḍikodveṣṭanam,,,,,,,,Ayurveda
AYU_76,,,AAB-60,77.0,,purIShAtigADhatvam (kEvalavAta),पुरीषातिगाढत्वम् (केवलवात),purīṣātigāḍhatvam (kēvalavāta),,,,,,,,Ayurveda
AYU_77,,"It is characterised by backache of various degrees associated with stiffness and immobility. This may be explained by: (a) Vitiation of vata, kapha affecting the local muscle tissue.",SP42(AAB-61),78.0,,pRuShTha-grahaH (kEvalavAta),पृष्ठ-ग्रहः (केवलवात),(a) pṛṣṭha-grahaḥ,,,,,,,,Ayurveda
AYU_78,,,AAB-62,79.0,,pralApakaH (kEvalavAta),प्रलापकः (केवलवात),pralāpakaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_79,,,AAB-63,80.0,,bAdhiryam (kEvalavAta),बाधिर्यम् (केवलवात),bādhiryam (kēvalavāta),,,,,,,,Ayurveda
AYU_80,,,AAB-64(SP4Y),81.0,,bAhuSoShaH (kEvalavAta),बाहुशोषः (केवलवात),(a) bāhuśoṣaḥ,,,,,,,,Ayurveda
AYU_81,,,AAB-65(SP9Y),82.0,,balahAniH (kEvalavAta),बलहानिः (केवलवात),(a) balahāniḥ,,,,,,,,Ayurveda
AYU_82,,,AAB-66(SP9Y),83.0,,BedaH (kEvalavAta),भेदः (केवलवात),(a) bhedaḥ,,,,,,,,Ayurveda
AYU_83,,,AAB-67,84.0,,BIrutA (kEvalavAta),भीरुता (केवलवात),,,,,,,,,Ayurveda
AYU_84,,,AAB-68(SM7Y),85.0,,mala-apravRutiH (kEvalavAta),मल-अप्रवृतिः (केवलवात),(a) mala-apravṛtiḥ,,,,,,,,Ayurveda
AYU_85,,,AAB-69,86.0,,mUkatvam (kEvalavAta),मूकत्वम् (केवलवात),mūkatvam (kēvalavāta),,,,,,,,Ayurveda
AYU_86,,,AAB-70,87.0,,mohaH (kEvalavAta),मोहः (केवलवात),mōhaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_87,,,AAB-71,88.0,,BramaH (kEvalavAta),भ्रमः (केवलवात),bhramaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_88,,,AAB-72(SK5Y),89.0,,BrUvyudAsaH (kEvalavAta),भ्रूव्युदासः (केवलवात),(a) bhrūvyudāsaḥ,,,,,,,,Ayurveda
AYU_89,,,AAB-73,90.0,,manyAstamBaH (kEvalavAta),मन्यास्तम्भः (केवलवात),,,,,,,,,Ayurveda
AYU_90,,"It is characterised by dryness of the tongue and may be associated with dryness of mouth, bitterness, heartburn. This may be explained by: (a) Vitiation of kapha, vata affecting the tongue.",SM1N(AAB-74),91.0,,mukhaSoShaH (kEvalavAta),मुखशोषः (केवलवात),(a) mukhaśoṣaḥ,,,,,,,,Ayurveda
AYU_91,,"It is characterised by retention of urine, inability to urinate, abdominal pain. This may be explained by: (a) Retention of the urine due to vātadosha.",SM81(AAB-75),92.0,,mUtranigrahaH (kEvalavAta),मूत्रनिग्रहः (केवलवात),(a) mūtranigrahaḥ,,,,,,,,Ayurveda
AYU_92,,,AAB-76,93.0,,rajonASaH (kEvalavAta),रजोनाशः (केवलवात),rajōnāśaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_93,,"It is characterised by dryness, scaliness and cracking of extremities and face. This may be explained by: (a) Increased vata affecting skin",SN42(AAB-77),94.0,,raukShyam (kEvalavAta),रौक्ष्यम् (केवलवात),(a) raukṣyam,,,,,,,,Ayurveda
AYU_94,,,AAB-78(SP9Y),95.0,,lomaharShaH (kEvalavAta),लोमहर्षः (केवलवात),(a) lomaharṣaḥ,,,,,,,,Ayurveda
AYU_95,,,AAB-79(SK0Y),96.0,,lalATaBedaH (kEvalavAta),ललाटभेदः (केवलवात),(a) lalāṭabhedaḥ,,,,,,,,Ayurveda
AYU_96,,,AAB-80(SP1Y),97.0,,trikagrahaH (kEvalavAta),त्रिकग्रहः (केवलवात),(a) trikagrahaḥ,,,,,,,,Ayurveda
AYU_97,,,AAB-81,98.0,,vartmastamBaH (kEvalavAta),वर्त्मस्तम्भः (केवलवात),vartmastambhaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_98,,,AAB-82(SK7Y),99.0,,vartmasa~gkocaH (kEvalavAta),वर्त्मसङ्कोचः (केवलवात),(a) vartmasaṅkocaḥ,,,,,,,,Ayurveda
AYU_99,,,AAB-83(SP9Y),100.0,,vakShoparodhaH (kEvalavAta),वक्षोपरोधः (केवलवात),(a) vakṣoparodhaḥ,,,,,,,,Ayurveda
AYU_100,,,AAB-84(SP9Y),101.0,,vakShastodaH (kEvalavAta),वक्षस्तोदः (केवलवात),(a) vakṣastodaḥ,,,,,,,,Ayurveda
AYU_101,,"It is characterised by loss of speech clarity, lalling, strained speech, may be aggravated due to excess speech. This may be explained by: (a) Aggravagtion of vata affecting kapha and faculty of speech.",SK53(AAB-85),102.0,,vAk-sa~ggaH (kEvalavAta),वाक्-सङ्गः (केवलवात),(a) vāk-saṅgaḥ,,,,,,,,Ayurveda
AYU_102,,,AAB-86(SP9Y),103.0,,vAcAlatA (kEvalavAta),वाचालता (केवलवात),(a) vācālatā,,,,,,,,Ayurveda
AYU_103,,,AAB-87(SP1Y),104.0,,vAtakhuDDatA/vAtakaNTakaH (kEvalavAta),वातखुड्डता/वातकण्टकः (केवलवात),"(a) vātakhuḍḍatā,                    (a) vātakaṇṭakaḥ",,,,,,,,Ayurveda
AYU_104,,,AAB-88(SP9Y),105.0,,vAmanatvam (kEvalavAta),वामनत्वम् (केवलवात),(a) vāmanatvam,,,,,,,,Ayurveda
AYU_105,,,AAB-89(SM37),106.0,,viD-BedaH (kEvalavAta),विड्-भेदः (केवलवात),(a) viḍ-bhedaḥ,,,,,,,,Ayurveda
AYU_106,,,AAB-90,107.0,,vipAdikA (nAnAtmaja) (kEvalavAta),विपादिका (नानात्मज) (केवलवात),vipādikā (nānātmaja) (kēvalavāta),,,,,,,,Ayurveda
AYU_107,,,AAB-91(SQ04),108.0,,viShAdaH/dInatA (kEvalavAta),विषादः/दीनता (केवलवात),(a) viṣādaḥ (a) dīnatā,,,,,,,,Ayurveda
AYU_108,,,AAB-92(SN3Y),109.0,,vRuShaNAkShepaH (kEvalavAta),वृषणाक्षेपः (केवलवात),(a) vṛṣaṇākṣepaḥ,,,,,,,,Ayurveda
AYU_109,,,AAB-93(SP4Y),110.0,,va~gkShaNAnAhaH (kEvalavAta),वङ्क्षणानाहः (केवलवात),(a) vaṅkṣaṇānāhaḥ,,,,,,,,Ayurveda
AYU_110,,,AAB-94(SP9Y),111.0,,vyathA (kEvalavAta),व्यथा (केवलवात),(a) vyathā,,,,,,,,Ayurveda
AYU_111,,,AAB-95(SL7Y),112.0,,SirAsPUrtiH (kEvalavAta),शिरास्फूर्तिः (केवलवात),(a) śirāsphūrtiḥ,,,,,,,,Ayurveda
AYU_112,,,AAB-96,113.0,,Siroruk (kEvalavAta),शिरोरुक् (केवलवात),śirōruk (kēvalavāta),,,,,,,,Ayurveda
AYU_113,,"It is characterised by decreased quantity and quality of semen, decreased sexual power, spermatorrhoea. This may be explained by: (a) Vitiation of all three dosha affecting male reproductive system.",SN03(AAB-97),114.0,,SukrakShayaH (kEvalavAta),शुक्रक्षयः (केवलवात),(a) śukrakṣayaḥ,,,,,,,,Ayurveda
AYU_114,,,AAB-98,115.0,,Sa~gkhaBedaH (kEvalavAta),शङ्खभेदः (केवलवात),śaṅkhabhēdaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_115,,It is characterised by painful penile erection. This may be explained by: (a) Vitiated vata affecting the penis.,SN07(AAB-99),116.0,,SePastamBaH (kEvalavAta),शेफस्तम्भः (केवलवात),(a) śephastambhaḥ,,,,,,,,Ayurveda
AYU_116,,,AAB-100(SP9Y),117.0,,Saityam (kEvalavAta),शैत्यम् (केवलवात),(a) śaityam,,,,,,,,Ayurveda
AYU_117,,,AAB-101,119.0,,SyAvAruNAsyatA (kEvalavAta),श्यावारुणास्यता (केवलवात),śyāvāruṇāsyatā (kēvalavāta),,,,,,,,Ayurveda
AYU_118,,,AAB-102,120.0,,SroNiBedaH (kEvalavAta),श्रोणिभेदः (केवलवात),śrōṇibhēdaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_119,,,AAB-103(SP9Y),121.0,,sa~gkocaH (kEvalavAta),सङ्कोचः (केवलवात),(a) saṅkocaḥ,,,,,,,,Ayurveda
AYU_120,,,AAB-104,122.0,,svedanASaH (kEvalavAta),स्वेदनाशः (केवलवात),svēdanāśaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_121,,,AAB-105(SP9Y),123.0,,SramaH (kEvalavAta),श्रमः (केवलवात),(a) śramaḥ,,,,,,,,Ayurveda
AYU_122,,,AAB-106,124.0,,sarvA~ggarogaH/sarvA~ggavAtaH (kEvalavAta),सर्वाङ्गरोगः/सर्वाङ्गवातः (केवलवात),sarvāṅgarōgaḥ/sarvāṅgavātaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_123,,,AAB-107(SK52),125.0,,stamBaH (kEvalavAta),स्तम्भः (केवलवात),(a) stambhaḥ,,,,,,,,Ayurveda
AYU_124,,,AAB-108(SP4Y),126.0,,hanuBedaH (kEvalavAta),हनुभेदः (केवलवात),(a) hanubhedaḥ,,,,,,,,Ayurveda
AYU_125,,,AAB-109,127.0,,hikkA (kEvalavAta),हिक्का (केवलवात),hikkā (kēvalavāta),,,,,,,,Ayurveda
AYU_126,,It is characterised by feeling of increased beating of the heart which is within the notice of the patient with or without tachycardia. This may be explained by: (a) Vitiation of vata affecting the heart region.,SL62(AAB-110),128.0,,hRuddravaH (kEvalavAta),हृद्द्रवः (केवलवात),(a) hṛddravaḥ,,,,,,,,Ayurveda
AYU_127,,It is characterised by decreased heart rate may be associated with decreased heart function. This may be explained by: (a) Vitiated vata affecting pitta for intellect.,SL60(AAB-111),129.0,,hRunmohaH (kEvalavAta),हृन्मोहः (केवलवात),(a) hṛnmohaḥ,,,,,,,,Ayurveda
